,suburb,latitude,longitude,distance
101,MacGregor,-27.5619323,153.0745918,11.321801935713683
102,Mackenzie,-27.544722,153.121389,12.627386717876417
103,Manly,-27.45,153.183333,15.791389921123068
104,Manly West,-27.466667,153.166667,13.994456872625891
105,Mansfield,-27.533333,153.1,10.215147741198269
106,McDowall,-27.386944,152.99,9.813127078706692
107,Middle Park,-27.5536336,152.9235338,13.678653882323943
108,Milton,-27.46778,153.00667,1.8372350281974088
109,Mitchelton,-27.41,152.973056,8.388431579656272
110,Moggill,-27.583333,152.866667,20.084705711330734
111,Moorooka,-27.535,153.026,7.228673746077788
112,Moreton Island,-27.3462945,153.4236007,41.71476835254508
113,Morningside,-27.462,153.075,5.004556770796598
114,Mount Coot-tha,-27.46877,152.9427532,8.142199696614586
115,Mount Crosby,-27.54,152.804,23.193301706952305
116,Mount Gravatt,-27.5364014,153.0671385,8.47053942329532
117,Mount Gravatt East,-27.532,153.084,9.021982860372734
118,Mount Ommaney,-27.545278,152.931389,12.481304823062933
119,Murarrie,-27.4561512,153.1063578,8.170217040818118
120,Myrtletown,-27.4004105,153.1322971,13.090174374787946
121,Nathan,-27.55,153.05,9.223841924365855
122,New Farm,-27.468,153.048,2.269608627965785
123,Newmarket,-27.435,153.009,4.169628228800904
124,Newstead,-27.4476365,153.0456652,3.184150322810359
125,Norman Park,-27.479,153.062,3.7854576582640735
126,Northgate,-27.39,153.066,9.719579520402835
127,Nudgee,-27.371,153.09,12.686342004533984
128,Nudgee Beach,-27.354,153.101,14.861830977039158
129,Nundah,-27.4034491,153.0604371,8.136311935947127
130,Oxley,-27.55341,152.9727693,10.61396941669347
131,Paddington,-27.461667,153.0025,2.40973335579474
132,Pallara,-27.616667,153.016667,16.299307724701258
133,Parkinson,-27.6365455,153.0299969,18.486963316313272
134,Petrie Terrace,-27.4625969,153.0132861,1.4145339907784045
135,Pinjarra Hills,-27.5390935,152.9058822,14.065040043141465
136,Pinkenba,-27.433333,153.116667,9.909467684026371
137,Port of Brisbane,-27.3807264,153.1640009,16.909367627855964
138,Pullenvale,-27.5171,152.8914,14.217013070033586
139,Ransome,-27.483333,153.183333,15.708385126256122
140,Red Hill,-27.4525313,153.0044563,2.7969051164564736
141,Richlands,-27.5868982,152.9529566,14.808177682183247
142,Riverhills,-27.5604,152.909,15.247415257097321
143,Robertson,-27.5657,153.0572,11.09241331642771
144,Rochedale,-27.56924,153.1164813,14.246234888115579
145,Rocklea,-27.5473012,153.0099461,8.721170811141624
146,Runcorn,-27.5964733,153.0765771,14.931851937840763
147,Salisbury,-27.551,153.034,9.043774149778617
148,Sandgate,-27.3238,153.071,16.79934067145936
149,Seven Hills,-27.479167,153.075,5.03830259065456
150,Seventeen Mile Rocks,-27.551,152.959,11.122196352268132
152,Sherwood,-27.531389,152.98,8.154875547423387
153,Shorncliffe,-27.327,153.079,16.69365598739789
154,Sinnamon Park,-27.5406,152.9519,10.674633242911035
156,South Brisbane,-27.47665,153.01667,1.1310095054586125
157,Spring Hill,-27.46,153.026,1.0861605718305223
158,St Lucia,-27.5,153,4.169569950136535
159,Stafford,-27.4119,153.0102,6.580221301502706
160,Stafford Heights,-27.396,153.011,8.292972342651126
161,Stones Corner,-27.498707,153.0466779,3.849534648838454
162,Stretton,-27.623333,153.067778,17.530350035403455
163,Sumner,-27.566667,152.933333,14.05441226150865
164,Sunnybank,-27.579,153.059,12.558047297574127
165,Sunnybank Hills,-27.6,153.05,14.638691333005946
166,Taigum,-27.35,153.05,13.497871492299028
167,Taringa,-27.4938096,152.980912,5.117318248925832
168,Tarragindi,-27.5242309,153.0464228,6.391294130209394
169,Teneriffe,-27.4563879,153.048609,2.754666729913257
170,Tennyson,-27.5262737,153.0000416,6.73386970602631
171,The Gap,-27.443889,152.953056,7.679550092942909
172,Tingalpa,-27.474896,153.129403,10.322291325711634
173,Toowong,-27.4842895,152.9837482,4.394335209358783
174,Upper Brookfield,-27.477778,152.868889,15.466993170027637
175,Upper Kedron,-27.418889,152.918889,11.920270166937918
176,Upper Mount Gravatt,-27.555278,153.079722,10.903157912285165
177,Virginia,-27.376,153.065,11.113736624563106
178,Wacol,-27.588756,152.9254168,16.457792825664004
179,Wakerley,-27.483333,153.166667,14.069671671824006
180,Wavell Heights,-27.393,153.048,8.802551977926365
181,West End,-27.4802,153.0122,1.7225163399548813
182,Westlake,-27.55,152.916667,13.923638928252254
183,Willawong,-27.6,153,14.642806806961026
184,Wilston,-27.435,153.021,3.87446743866152
185,Windsor,-27.4326765,153.0320137,4.1664856691241425
186,Wishart,-27.5546578,153.0998273,11.956522001155003
187,Woolloongabba,-27.4856,153.0291,1.7975501139183703
188,Wooloowin,-27.4223358,153.0410636,5.48742654854519
189,Wynnum,-27.443694,153.173618,14.960500763916082
190,Wynnum West,-27.45,153.15,12.53669151688147
191,Yeerongpilly,-27.53,153.012,6.798907147932706
192,Yeronga,-27.514,153.015,5.00216368078451
193,Zillmere,-27.358333,153.05,12.591071696460649
