,suburb,latitude,longitude,distance
112,Canley Vale,-33.88642,150.946,24.43742235371771
113,Canoelands,-33.50824,151.06178,42.26849585561818
114,Canterbury,-33.9126,151.118,9.741751114237198
115,Caringbah,-34.0452,151.1218,21.170023562450226
116,Caringbah South,-34.0529294,151.1199309,22.028864649531723
117,Carlingford,-33.7770423,151.0456097,18.25526461718949
118,Carlton,-33.9685296,151.1246063,13.551868178366655
119,Carnes Hill,-33.9383285,150.8478522,34.30709115299485
120,Carramar,-33.88605,150.96442,22.735675590447297
121,Carss Park,-33.98718,151.11889,15.563950990716515
122,Cartwright,-33.9240777,150.8914686,30.030090620324472
123,Castle Cove,-33.78464,151.20642,9.340943668342453
124,Castle Hill,-33.7311837,151.0042006,24.367123194606222
125,Castlecrag,-33.80137,151.22007,7.547662107629023
126,Castlereagh,-33.8732205,151.2091679,0.4882797435179031
127,Casula,-33.9503864,150.9044946,29.60509094044999
128,Catherine Field,-33.9833,150.76,43.441292283624854
129,Cattai,-33.5561,150.91205,44.29773125281415
130,Cawdor,-34.083333,150.683333,54.11613667992583
131,Cecil Hills,-33.8876831,150.8490573,33.39353036128754
132,Cecil Park,-33.87297,150.83823,34.33564954538291
133,Centennial Park,-33.8942521,151.2330449,3.5756420624331757
134,Central Business District,-33.8708464,151.20733,0.2891511698155481
135,Chatswood,-33.7960696,151.1780469,8.572163145263925
136,Chatswood West,-33.7966739,151.1621677,9.114189675713234
137,Cheltenham,-33.7553681,151.078072,17.492002785461484
138,Cherrybrook,-33.7251,151.04931,21.762693111153926
139,Chester Hill,-33.87838,151.00443,18.984079723830483
140,Chifley,-33.969,151.24,11.469102521466983
141,Chippendale,-33.8863,151.1999,2.1248503720577117
142,Chipping Norton,-33.911,150.959,23.62126272274712
143,Chiswick,-33.85192,151.13605,7.032258440694571
144,Chullora,-33.8908,151.0475,15.165715549390319
145,Church Point,-33.6544,151.2791,24.646541328586977
146,Claremont Meadows,-33.779,150.753,43.40046628502259
147,Clarendon,-33.6117,150.78707,48.41631929249992
148,Clareville,-33.6362228,151.3100857,27.43724310588616
149,Claymore,-34.0444,150.8096,41.76357533809044
150,Clemton Park,-33.9258275,151.104641,11.56239161088554
151,Clontarf,-33.80834,151.25342,7.8538146679752705
152,Clovelly,-33.9121,151.2629,6.901739605714281
153,Clyde,-33.8325954,151.0223928,17.757654503188803
154,Coasters Retreat,-33.605,151.299,30.420093077725554
155,Cobbitty,-34.016667,150.683333,51.31450617289763
156,Colebee,-33.721,150.855,36.67859284938277
157,Collaroy,-33.73,151.3,17.539631144184458
158,Collaroy Plateau,-33.7293326,151.290404,17.19844445784486
159,Colyton,-33.7830958,150.7954903,39.46949629415916
160,Como,-34.0045,151.06379,20.185783498743188
161,Concord,-33.8550219,151.1078139,9.514395794356313
162,Concord West,-33.8396663,151.088239,11.660207597469308
163,Condell Park,-33.92498,151.00769,19.660698259505548
164,Connells Point,-33.98246,151.10016,16.14687383504352
